"Measure - Percent"
"Statistic - Estimate"
"Race/ethnicity - All"
"Year - 2011-2013"

Gestational age;"All preterm (<37 wk.)";"All preterm (<37 wk.)";"All preterm (<37 wk.)";"All preterm (<37 wk.)";"All preterm (<37 wk.)";"All preterm (<37 wk.)";"All preterm (<37 wk.)";"All preterm (<37 wk.)";"All preterm (<37 wk.)";"All preterm (<37 wk.)";"Moderately preterm (32-36 wk.)";"Moderately preterm (32-36 wk.)";"Moderately preterm (32-36 wk.)";"Moderately preterm (32-36 wk.)";"Moderately preterm (32-36 wk.)";"Moderately preterm (32-36 wk.)";"Moderately preterm (32-36 wk.)";"Moderately preterm (32-36 wk.)";"Moderately preterm (32-36 wk.)";"Moderately preterm (32-36 wk.)";"Very preterm (<32 wk.)";"Very preterm (<32 wk.)";"Very preterm (<32 wk.)";"Very preterm (<32 wk.)";"Very preterm (<32 wk.)";"Very preterm (<32 wk.)";"Very preterm (<32 wk.)";"Very preterm (<32 wk.)";"Very preterm (<32 wk.)";"Very preterm (<32 wk.)"
"Oklahoma";13;15.9;23.9;15.6;13;12.6;12.1;12.8;16;19.7;11;12.1;16.8;11.9;10.6;10.7;10.4;11;13.4;16.4;2;3.8;"*";3.7;2.4;1.9;1.8;1.9;2.5;3.4
"Georgia";12.8;15.9;21.1;15.6;13.7;13;11.9;12.2;13.9;17.7;10.5;12.6;14.7;12.5;11.1;10.6;9.800000000000001;10.1;11.3;14.8;2.3;3.3;6.4;3.1;2.6;2.4;2.1;2.1;2.6;2.9
"Nevada";12.9;17;21;16.8;13.6;12.2;11.9;12.7;14.5;18.6;11;13.9;"*";13.9;11.5;10.5;10.2;10.9;12.5;16;1.9;3.1;"*";2.9;2.1;1.8;1.7;1.8;2.1;2.6
"Tennessee";12.6;15.7;22.6;15.4;12.8;12.5;11.7;12.3;14.1;18.8;10.6;12.9;20.5;12.5;10.4;10.5;9.9;10.4;11.8;15.8;2;2.8;"*";2.8;2.4;2;1.8;1.9;2.3;3
"West Virginia";12.5;15.7;27;15.3;12.5;11.8;11.7;12.7;16;19.7;10.6;13.2;"*";12.8;10.2;10;9.800000000000001;10.9;13.5;15.7;2;2.5;"*";2.5;2.4;1.8;1.9;1.8;2.4;4
"Hawaii";12.4;18.3;"*";17.5;15.3;11.8;11.3;11.2;14.1;19.2;10.5;14.3;"*";13.8;12.3;9.9;9.6;9.699999999999999;11.9;16.5;1.9;4;"*";3.7;3;1.9;1.7;1.5;2.1;2.7
"Texas";12.5;14.8;18.8;14.6;12.9;12.1;11.3;12.3;14.6;18.9;10.5;12.1;14.5;12;10.8;10.2;9.6;10.4;12.3;15.7;2;2.7;4.3;2.7;2.1;1.8;1.7;1.9;2.4;3.2
"Delaware";12;14.5;"*";13.8;13.8;12.2;11.2;11.3;13;14.8;9.5;10.9;"*";10.2;10.4;9.699999999999999;9;9.1;10.3;11.9;2.4;3.5;"*";3.6;3.4;2.5;2.1;2.2;2.8;2.9
"North Carolina";12.2;16.8;24.9;16.4;13.1;12.1;11.2;11.6;13.5;17.5;9.699999999999999;12.9;20;12.5;10.3;9.5;9;9.4;10.9;14;2.4;3.9;4.9;3.9;2.8;2.5;2.2;2.2;2.6;3.6
"Ohio";12.1;16.1;22.7;15.8;13.6;12.1;11.1;11.5;13.5;16.6;9.699999999999999;12.2;15;12.1;10.7;9.6;9.1;9.4;11;13.4;2.3;3.9;7.8;3.7;2.9;2.4;2.1;2.1;2.5;3.2
"Maryland";12.2;16.8;20.4;16.6;13.7;12.5;11;11.1;13.7;17.8;10;12.9;15.2;12.8;10.8;10;9.1;9.199999999999999;11.2;14.7;2.2;3.9;"*";3.8;2.9;2.4;1.9;1.9;2.5;3.1
"New Mexico";11.6;13.5;20.3;13.2;12.4;10.8;11;11.1;14.1;17.8;10;11.6;17.2;11.4;10.5;9.4;9.6;9.6;12.2;15.3;1.6;1.9;"*";1.8;2;1.5;1.5;1.5;1.9;2.5
"Illinois";11.9;16.5;26.3;16.1;13.5;12;10.8;11.1;13.3;17.6;9.800000000000001;12.8;18;12.6;10.6;9.699999999999999;8.9;9.199999999999999;11.1;14.4;2.1;3.7;8.300000000000001;3.5;2.9;2.3;1.9;1.8;2.2;3.2
"Arizona";11.8;15.5;17.7;15.5;12.7;11.5;10.7;11.4;13.2;17.4;10.1;13;14.8;13;10.6;9.800000000000001;9.199999999999999;9.800000000000001;11.4;14.5;1.7;2.5;"*";2.5;2.1;1.7;1.5;1.6;1.8;2.9
"U.S.";11.5;14.9;20.9;14.6;12.7;11.5;10.6;10.9;12.9;16.5;9.6;11.9;15.6;11.7;10.3;9.5;8.9;9.199999999999999;10.8;13.7;1.9;3;5.4;2.9;2.4;2;1.7;1.7;2.1;2.8
"Michigan";11.8;16.2;24.8;15.9;13.5;11.9;10.6;11.2;13.6;16.6;9.699999999999999;12.3;17.3;12.1;10.6;9.699999999999999;8.699999999999999;9.300000000000001;11.3;13.4;2.2;4;7.6;3.8;2.9;2.2;1.9;1.9;2.2;3.2
"Wyoming";10.9;14.4;"*";14.3;10.6;10.9;10.5;10.5;12.2;13.2;9.300000000000001;10.8;"*";11;8.699999999999999;9.4;8.699999999999999;9.300000000000001;10.8;10.8;1.6;"*";"*";"*";1.8;1.6;1.8;1.2;1.4;"*"
"Indiana";11.1;13.7;19.5;13.5;11.8;10.8;10.3;10.9;13.2;16.4;9.300000000000001;10.9;14.6;10.8;9.300000000000001;9;8.699999999999999;9.199999999999999;11.1;13.7;1.8;2.8;"*";2.7;2.5;1.8;1.6;1.7;2.1;2.6
"Montana";10.8;12.8;"*";12.8;10.9;11;10.3;10.4;11.8;15.6;9.199999999999999;10.1;"*";10.2;8.6;9.199999999999999;8.9;9;10.3;13.2;1.6;"*";"*";"*";2.3;1.8;1.5;1.4;1.5;"*"
"Virginia";11.2;13.9;16.7;13.8;12.5;11.4;10.3;10.4;12.1;16.5;9.199999999999999;10.6;"*";10.5;9.800000000000001;9.300000000000001;8.5;8.6;10.1;13.8;2;3.3;"*";3.2;2.7;2.1;1.9;1.8;2.1;2.8
"Iowa";11.2;15.1;"*";14.9;12.8;11.1;10.2;11;13.2;15.9;9.4;12.2;"*";12.1;10.3;9.199999999999999;8.6;9.300000000000001;10.9;13.6;1.8;2.9;"*";2.9;2.5;1.9;1.6;1.7;2.3;2.3
"Kansas";11;12.9;20;12.6;12.3;11;10.2;10.7;12.8;14.5;9.300000000000001;10.3;"*";10;10.3;9.300000000000001;8.699999999999999;9.1;10.8;12;1.7;2.7;"*";2.6;2;1.7;1.5;1.6;2.1;2.5
"Missouri";11.5;14.6;20.2;14.4;12.6;12;10.2;11.1;13.3;15.3;9.6;11;13.9;10.9;10.1;9.9;8.6;9.5;11.4;12.4;1.9;3.5;"*";3.4;2.5;2.1;1.6;1.6;1.9;3
"New Jersey";11.5;15.6;20;15.4;12.5;11.3;10.1;10.8;12.9;16.8;9.4;12.1;13.7;12.1;9.9;9.1;8.300000000000001;8.9;10.6;13.8;2.1;3.5;"*";3.4;2.6;2.2;1.8;1.9;2.3;3.1
"Nebraska";10.7;13.2;"*";13.3;11.2;10.3;9.800000000000001;10.6;13.3;17.7;9.1;10.9;"*";11;9.1;8.699999999999999;8.4;9;11.2;15.3;1.6;2.3;"*";2.3;2.1;1.6;1.4;1.6;2;2.4
"Pennsylvania";10.8;14.3;20;14;12.4;10.8;9.800000000000001;10.2;12.3;15.6;8.9;11.4;13.3;11.3;9.699999999999999;8.800000000000001;8.1;8.5;10.1;12.7;1.9;2.9;6.7;2.7;2.7;2;1.8;1.7;2.2;2.9
"New York";10.8;14.6;20.7;14.3;11.9;10.3;9.699999999999999;10.3;12.1;15.3;9;11.5;14.3;11.3;9.6;8.5;8.199999999999999;8.6;10.2;12.9;1.8;3.1;6.4;2.9;2.3;1.8;1.5;1.6;1.9;2.4
"South Dekota";10.9;14.8;"*";14.4;13.3;11.5;9.699999999999999;10.5;11.8;14.4;9.199999999999999;12;"*";11.6;10.6;9.6;8.300000000000001;9.1;9.6;12.1;1.7;2.8;"*";2.8;2.7;1.9;1.4;1.4;2.1;"*"
"Utah";10.4;14.9;"*";14.6;11.9;10;9.6;10.2;12.6;16.6;9.1;12.5;"*";12.3;10.1;8.699999999999999;8.300000000000001;9;11.1;14.2;1.3;2.4;"*";2.4;1.8;1.3;1.3;1.2;1.4;2.4
"Wisconsin";10.4;15.3;28.5;14.7;12.8;10.5;9.6;9.800000000000001;11.7;14.3;8.800000000000001;11.6;21.2;11.2;10.3;8.699999999999999;8.1;8.4;9.9;12.4;1.7;3.7;"*";3.5;2.5;1.8;1.5;1.4;1.8;1.8
"Alaska";9.9;11.2;"*";11.4;9.699999999999999;9.1;9.300000000000001;9.800000000000001;11.8;17.8;8.4;9.9;"*";10.1;8.1;7.6;8;8.4;10;15.1;1.4;"*";"*";"*";1.6;1.4;1.3;1.4;1.8;2.7
"Idaho";10.3;13.3;"*";12.8;13.6;9.6;9.300000000000001;10.1;12.6;15.8;8.9;11;"*";10.9;10.9;8.199999999999999;8.199999999999999;8.699999999999999;10.9;13.7;1.4;2.2;"*";1.9;2.6;1.4;1.1;1.4;1.7;2.1
"Massachusetts";10.1;12.6;"*";12.3;11;9.699999999999999;9.300000000000001;9.5;11.4;15;8.5;10.1;"*";9.9;9;8;7.6;8;9.699999999999999;12.5;1.6;2.5;"*";2.5;2;1.7;1.6;1.4;1.7;2.5
"Colorado";10.3;14.3;21.3;14.1;11.9;10.4;9.199999999999999;9.5;12;15.8;8.699999999999999;11.5;15.7;11.4;9.5;8.699999999999999;7.7;8.1;10.2;13.6;1.6;2.8;"*";2.7;2.4;1.7;1.4;1.4;1.8;2.2
"Minnesota";10;14.2;25;13.7;12.8;9.9;9.1;9.6;11.1;14.3;8.4;11.3;19;10.9;10.3;8.199999999999999;7.6;8.199999999999999;9.4;12.2;1.6;2.9;"*";2.8;2.4;1.7;1.4;1.5;1.7;2.1
"Washington";9.800000000000001;12.2;16.2;12.1;11.1;9.4;9.1;9.5;10.8;14.9;8.300000000000001;10.3;"*";10.3;9.300000000000001;8;7.8;8.1;9.300000000000001;12.4;1.5;1.9;"*";1.9;1.8;1.5;1.3;1.4;1.5;2.5
"Rhode Island";10.5;12.8;"*";12.9;11.5;11.2;9;9.800000000000001;12.3;14.6;8.5;9.5;"*";9.6;9.4;9.1;7.3;8;10.1;11.4;2;3.4;"*";3.3;2.1;2.1;1.8;1.7;2.2;3.1
"Connecticut";9.9;13.1;"*";12.8;10.3;9.6;8.800000000000001;9.5;10.8;15.5;8.1;10.2;"*";10.1;7.9;7.7;7.3;7.8;9;13.1;1.8;2.9;"*";2.7;2.4;1.8;1.5;1.7;1.8;2.4
"Maine";9.4;13.8;"*";13.3;10;9.199999999999999;8.800000000000001;9.300000000000001;9.9;12.9;7.8;10.9;"*";10.5;8.5;7.6;7.4;7.6;8.4;10.8;1.6;"*";"*";"*";1.6;1.6;1.4;1.7;1.4;2.1
"North Dakota";9.9;11.7;"*";10.6;12.4;10.1;8.699999999999999;9.699999999999999;12.2;17.4;8.1;9.6;"*";8.6;9.199999999999999;8.1;7.2;8.1;10.4;12.8;1.8;"*";"*";"*";3.2;1.9;1.5;1.6;1.8;4.6
"California";9.4;11.3;15.4;11.1;9.699999999999999;8.6;8.5;9;10.8;14.7;8;9.300000000000001;12.2;9.199999999999999;8.1;7.3;7.2;7.7;9.1;12.4;1.4;2;3.2;1.9;1.6;1.4;1.2;1.3;1.6;2.3
"New Hampshire";9.300000000000001;13.9;"*";13.8;8.9;9.300000000000001;8.4;9.1;10.6;13.3;7.8;11.1;"*";11;7.8;7.4;7.1;7.7;9.300000000000001;10.9;1.5;"*";"*";"*";"*";1.8;1.3;1.4;1.2;2.5
"Oregon";9.199999999999999;11.7;"*";11.6;10.5;9;8.300000000000001;8.800000000000001;10.1;14.3;7.9;9.699999999999999;"*";9.4;8.9;7.7;7.2;7.5;8.800000000000001;11.9;1.3;2.1;"*";2.1;1.6;1.3;1.1;1.2;1.3;2.3
"Vermont";8.5;8.699999999999999;"*";8.9;10.4;8.6;8;8.4;8.300000000000001;12.5;7.2;"*";"*";"*";8.699999999999999;7.5;6.6;7.1;7.2;10.3;1.3;"*";"*";"*";"*";1.1;1.4;1.3;1.1;"*"
